ID,category,answer_en,answer_hi,keywords_en,keywords_hi
0,General,"Welcome to Kaamgar Sahayak! How can I assist you today?","कामगार सहायक में आपका स्वागत है! मैं आज आपकी कैसे मदद कर सकता हूँ?","welcome,assistance,help,hello,hey,hi","स्वागत,मदद"
1,General,"I'm here to help you with your queries related to labor laws and worker rights.","मैं श्रम कानूनों और श्रमिक अधिकारों से संबंधित आपके प्रश्नों में मदद करने के लिए यहाँ हूँ।","labor laws,worker rights","श्रम कानून,श्रमिक अधिकार"
2,General,"Please feel free to ask any questions you may have.","कृपया बेझिझक कोई भी प्रश्न पूछें।","questions,queries,ask","प्रश्न,पूछें"
3,General,"You can ask about wages, benefits, health and safety, rights, and more.","आप मजदूरी, लाभ, स्वास्थ्य और सुरक्षा, अधिकार आदि के बारे में पूछ सकते हैं।","wages,benefits,health,safety,rights","मजदूरी,लाभ,स्वास्थ्य,सुरक्षा,अधिकार"
4,General,"I can provide information in Hindi or English as per your preference.","मैं आपकी पसंद के अनुसार हिंदी या अंग्रेजी में जानकारी प्रदान कर सकता हूँ।","language,hindi,english","भाषा,हिंदी,अंग्रेजी"
5,General,"Yes How Can I Help You?","हाँ, मैं आपकी कैसे मदद कर सकता हूँ?","help,assistance","मदद,सहायता"
6,Office Details,"Labour Commissioner Office, Government of Madhya Pradesh, Indore","श्रमायुक्त कार्यालय, मध्य प्रदेश शासन, इंदौर","Labour Office,Labour Bureau","श्रम कार्यालय,श्रम ब्यूरो"
7,Office Details,"518, Indore - 452007","518, इंदौर - 452007","Address,Location","पता,स्थान"
8,Contact,lcmpenf@mp.gov.in,lcmpenf@mp.gov.in,"Email,Electronic Mail","ईमेल,ई-मेल"
9,Contact,labour.mponline.gov.in,labour.mponline.gov.in,"Website,Webpage","वेबसाइट,वेबसाइट"
10,Application Process,"The services of Labour Department can be obtained by:<br/>- Filing an application directly through the portal.<br/>- Filing an application through Lok Seva Kendra (with an additional fee).<br/>- Filing an application through an authorized kiosk of M.P. Online (with an additional fee).","श्रम विभाग की सेवाओं का लाभ निम्न प्रकार से प्राप्त किया जा सकता है:<br/>- पोर्टल के माध्यम से सीधे आवेदन दर्ज करके।<br/>- लोक सेवा केंद्र के माध्यम से आवेदन दर्ज करके (अतिरिक्त शुल्क के साथ)।<br/>- एमपी ऑनलाइन के अधिकृत कियोस्क के माध्यम से आवेदन दर्ज करके (अतिरिक्त शुल्क के साथ)।","services, labour department,labour department services, obtain, apply","आवेदन,सेवा,श्रम विभाग"
11,Application Process,"The registration process is completely online, hence the presence of the applicant in the office is not necessary.","पंजीकरण की प्रक्रिया पूरी तरह से ऑनलाइन है, अतः आवेदक की कार्यालय में उपस्थिति आवश्यक नहीं है।","registration,online,no visit","पंजीकरण,ऑनलाइन,कार्यालय"
12,Application Process,"Fill in the correct mobile number while applying. This mobile number will be considered registered on the Shram Seva Portal and will be useful for future contact/information.","आवेदन करते समय सही मोबाइल नंबर भरें। यह मोबाइल नंबर श्रम सेवा पोर्टल पर पंजीकृत माना जाएगा और भविष्य के संपर्क/सूचना के लिए उपयोगी होगा।","mobile number,registration,shram seva","मोबाइल नंबर,पंजीकरण,श्रम सेवा"
